Model,Factuality,Factuality Std,Relevance,Relevance Std,Average,Average Std
Baseline,0.7778666666666667,0.34842423694239305,0.985,0.09233092656309694,0.8814333333333334,0.19360211488743836
Baseline + RAG,0.0,0.0,0.0,0.0,0.0,0.0
Fine-tuned,0.6563333333333333,0.4370849142011449,0.7548666666666666,0.3873873800502827,0.7056,0.3467553989005314
Fine-tuned + RAG,0.0,0.0,0.0,0.0,0.0,0.0
